;first period;second period;third period
ARGENTINA;Crawl-like arrangement;Crawl-like arrangement;floating
BRAZIL;floating;floating;floating
CHILE;free floating;free floating;free floating
CHINA;Crawl-like arrangement;Crawl-like arrangement;Other managed arrangement
COLOMBIA;floating;floating;floating
EGYPT;Crawl-like arrangement;stabilized arrangement;stabilized arrangement
INDIA;floating ;floating ;floating 
INDIA DOMESTIC;floating ;floating ;floating 
INDONESIA;Stabilized arrangement/floating/Crawl-like arrangement;floating;floating
MALAYSIA;floating /crawl-like arrangement;floating ;floating 
MEXICO;free floating;free floating;free floating
PAKISTAN;floating;Other managed arrangement;Other managed arrangement
PERU;Crawl-like arrangement/floating;floating;floating
PHILIPPINES;floating;floating;floating
RUSSIA;Other managed arrangement;Other managed arrangement/floating;free floating
SOUTH AFRICA;floating;floating;floating
THAILAND;floating;floating;floating
TURKEY ;floating;floating;floating
